calender_id,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
1,40334325,2022-08-03 00:00:00.000000,0,56,56,3,5
2,22742449,2022-11-13 00:00:00.000000,1,95,95,2,99
3,34621717,2022-04-17 00:00:00.000000,0,75,75,2,1125
4,38281744,2022-01-31 00:00:00.000000,1,150,150,1,1000
5,18835003,2022-05-21 00:00:00.000000,0,100,100,2,1125
6,27777408,2022-07-05 00:00:00.000000,0,22,22,1,1125
7,4502646,2022-08-03 00:00:00.000000,1,75,75,1,1125
8,36963744,2022-11-30 00:00:00.000000,0,1000,1000,1,999
9,32784417,2022-11-21 00:00:00.000000,0,75,75,2,1125
10,31198633,2022-01-21 00:00:00.000000,0,65,65,1,14
11,43692011,2022-03-02 00:00:00.000000,1,54,54,2,1125
12,31130575,2022-09-04 00:00:00.000000,1,240,240,2,1125
13,13372879,2022-10-21 00:00:00.000000,0,69,69,2,14
14,48126265,2022-05-20 00:00:00.000000,1,60,60,1,1
15,32311829,2022-10-12 00:00:00.000000,1,75,75,1,14
16,33129809,2022-05-07 00:00:00.000000,0,49,49,1,10
17,41703665,2022-11-02 00:00:00.000000,0,200,200,7,1125
18,46791742,2022-04-24 00:00:00.000000,0,95,92,1,999
19,27132678,2022-02-23 00:00:00.000000,1,70,70,1,1125
20,38080630,2022-09-12 00:00:00.000000,1,59,59,1,13
21,31055825,2022-02-03 00:00:00.000000,1,90,90,2,5
22,31682997,2022-02-06 00:00:00.000000,1,45,45,3,1125
23,52753471,2022-02-04 00:00:00.000000,1,110,110,13,90
24,48193498,2022-04-28 00:00:00.000000,0,300,300,4,365
25,28839558,2022-06-22 00:00:00.000000,0,78,78,2,14
26,27479453,2022-09-18 00:00:00.000000,0,250,250,2,1125
27,37774768,2022-07-20 00:00:00.000000,1,125,125,1,1125
28,31015562,2022-09-18 00:00:00.000000,0,45,45,2,1125
29,22962721,2022-01-30 00:00:00.000000,1,69,69,3,1125
30,51957123,2022-01-16 00:00:00.000000,1,79,79,2,1125
31,41641939,2022-06-14 00:00:00.000000,0,100,100,3,1125
32,41130318,2022-04-08 00:00:00.000000,1,129,129,1,13
33,4303323,2022-09-25 00:00:00.000000,0,135,135,2,1125
34,49717768,2022-10-09 00:00:00.000000,1,60,60,7,1125
35,48416471,2022-11-23 00:00:00.000000,1,59,59,1,13
36,9193370,2022-11-11 00:00:00.000000,1,80,80,2,1125
37,32627204,2022-09-30 00:00:00.000000,0,55,55,2,1125
38,42194629,2022-05-07 00:00:00.000000,0,89,89,2,1125
39,39746037,2022-01-18 00:00:00.000000,0,45,45,2,14
40,32467666,2022-06-02 00:00:00.000000,1,110,110,3,1125
41,42032279,2022-09-14 00:00:00.000000,1,48,48,1,1125
42,50206275,2022-09-28 00:00:00.000000,0,150,150,1,365
43,40985461,2022-02-03 00:00:00.000000,1,58,58,1,1125
44,13640722,2022-05-03 00:00:00.000000,1,105,105,1,1125
45,47825291,2022-01-31 00:00:00.000000,0,35,35,4,1125
46,32827570,2022-09-07 00:00:00.000000,0,69,69,2,1125
47,53061962,2022-12-15 00:00:00.000000,1,33,33,1,365
48,4980368,2022-10-09 00:00:00.000000,0,79,79,7,1125
49,9911713,2022-06-19 00:00:00.000000,1,38,38,1,1125
50,15520735,2022-12-16 00:00:00.000000,0,80,80,1,1125
51,4178600,2021-12-29 00:00:00.000000,0,65,65,2,5
52,7892353,2022-07-15 00:00:00.000000,1,110,110,5,1125
53,8366368,2021-12-27 00:00:00.000000,0,38,38,1,1125
54,36660088,2022-01-06 00:00:00.000000,0,95,95,2,30
55,46810177,2022-08-09 00:00:00.000000,0,650,650,30,1125
56,52683142,2022-10-23 00:00:00.000000,1,59,59,1,4
57,52664057,2022-11-20 00:00:00.000000,1,255,255,1,1125
58,13249852,2022-01-08 00:00:00.000000,0,800,800,5,60
59,19723966,2022-07-29 00:00:00.000000,0,200,200,1,1125
60,36904085,2022-03-02 00:00:00.000000,0,164,164,1,1125
61,28772811,2022-02-20 00:00:00.000000,0,100,100,2,1125
62,42787047,2022-08-12 00:00:00.000000,0,72,72,5,1125
63,34294000,2022-10-29 00:00:00.000000,0,60,60,2,1125
64,36195542,2022-05-31 00:00:00.000000,1,45,45,2,1125
65,2602613,2021-12-30 00:00:00.000000,0,65,65,2,1125
66,21750298,2022-07-24 00:00:00.000000,1,35,35,1,30
67,31200155,2022-02-09 00:00:00.000000,1,89,89,2,1125
68,39385527,2022-12-09 00:00:00.000000,0,59,59,1,1125
69,10582792,2021-12-26 00:00:00.000000,0,220,220,5,1125
70,12238423,2022-12-21 00:00:00.000000,1,71,71,2,1125
71,32371479,2022-07-27 00:00:00.000000,1,89,89,14,1125
72,49465982,2022-09-23 00:00:00.000000,1,67,67,10,1125
73,17756295,2022-09-27 00:00:00.000000,1,105,105,2,1125
74,24596945,2022-09-23 00:00:00.000000,0,63,63,1,1125
75,5233718,2022-08-06 00:00:00.000000,0,85,85,2,365
76,29974854,2022-06-11 00:00:00.000000,0,650,650,30,1125
77,7365174,2022-06-14 00:00:00.000000,0,38,38,1,1125
78,11055119,2022-01-29 00:00:00.000000,1,120,120,1,1125
79,42579650,2022-11-07 00:00:00.000000,1,59,59,1,13
80,51554180,2022-10-27 00:00:00.000000,0,47,47,120,1125
81,50356868,2022-12-25 00:00:00.000000,1,119,119,2,1125
82,31847853,2022-03-14 00:00:00.000000,1,190,190,2,15
83,49666839,2022-08-17 00:00:00.000000,0,80,80,10,365
84,20263685,2022-10-30 00:00:00.000000,1,64,64,2,1125
85,26193437,2022-05-18 00:00:00.000000,0,90,90,2,30
86,8769507,2022-01-29 00:00:00.000000,0,98,98,2,1125
87,36963744,2022-06-11 00:00:00.000000,0,235,235,1,999
88,7298474,2022-10-16 00:00:00.000000,1,59,59,2,1125
89,52403714,2022-12-19 00:00:00.000000,1,85,85,1,30
90,41045326,2022-10-11 00:00:00.000000,1,90,90,2,1125
91,44131326,2022-08-14 00:00:00.000000,1,124,124,1,1125
92,639013,2022-10-29 00:00:00.000000,0,85,85,2,4
93,46211525,2022-08-04 00:00:00.000000,0,55,55,7,90
94,32683116,2022-04-25 00:00:00.000000,0,40,40,2,1125
95,21831718,2022-01-31 00:00:00.000000,0,130,130,2,1125
96,50287634,2022-12-09 00:00:00.000000,0,80,80,5,1125
97,51191928,2022-04-03 00:00:00.000000,1,100,100,365,365
98,32312156,2022-01-14 00:00:00.000000,1,75,75,2,14
99,44989043,2022-10-31 00:00:00.000000,0,54,54,2,1125
100,50287634,2022-12-06 00:00:00.000000,0,80,80,5,1125
101,52016935,2022-05-13 00:00:00.000000,1,325,325,1,1125
102,43877035,2022-07-05 00:00:00.000000,0,129,129,1,1125
103,52315597,2022-07-21 00:00:00.000000,1,149,149,1,10
104,33196669,2022-07-17 00:00:00.000000,1,125,125,4,1125
105,47987148,2022-03-05 00:00:00.000000,0,75,75,5,365
106,49471069,2022-05-24 00:00:00.000000,0,30,30,7,1125
107,49268667,2022-04-18 00:00:00.000000,0,35,35,1,365
108,1670128,2022-08-29 00:00:00.000000,0,49,49,14,1125
109,45780430,2022-11-24 00:00:00.000000,1,85,85,2,1125
110,41141756,2022-07-13 00:00:00.000000,1,64,64,1,13
111,23755415,2022-01-20 00:00:00.000000,0,59,59,1,1125
112,24263418,2022-08-11 00:00:00.000000,1,100,100,20,50
113,53579997,2022-02-10 00:00:00.000000,1,70,70,14,1125
114,5096851,2022-06-04 00:00:00.000000,1,75,75,1,7
115,31130575,2021-12-28 00:00:00.000000,0,240,240,2,1125
116,20263685,2022-06-19 00:00:00.000000,1,64,64,2,1125
117,51554180,2022-01-15 00:00:00.000000,0,47,47,120,1125
118,38202647,2022-01-16 00:00:00.000000,0,45,45,4,1125
119,38975201,2022-03-18 00:00:00.000000,1,55,55,4,1125
120,8038470,2022-06-11 00:00:00.000000,1,170,170,1,1125
121,45825971,2022-12-04 00:00:00.000000,0,19,19,1,1125
122,13670107,2022-04-29 00:00:00.000000,0,43,43,5,1125
123,50897474,2022-12-12 00:00:00.000000,0,120,120,1,1125
124,47368471,2022-12-09 00:00:00.000000,0,75,75,2,1125
125,51811514,2022-02-07 00:00:00.000000,1,120,120,2,1125
126,10429341,2022-11-24 00:00:00.000000,1,48,48,3,1125
127,27755042,2022-12-20 00:00:00.000000,0,49,49,1,1125
128,44398216,2022-04-27 00:00:00.000000,0,40,40,1,1125
129,45477131,2022-02-08 00:00:00.000000,0,75,75,2,1125
130,30975341,2022-04-10 00:00:00.000000,1,99,99,10,1125
131,53916361,2022-07-24 00:00:00.000000,0,39,39,1,365
132,33130061,2022-07-09 00:00:00.000000,0,49,49,1,7
133,38836444,2022-06-24 00:00:00.000000,0,45,45,1,1125
134,26330337,2022-12-18 00:00:00.000000,1,50,50,14,1125
135,31328149,2022-11-03 00:00:00.000000,1,50,50,1,7
136,52016935,2022-02-24 00:00:00.000000,1,260,260,1,1125
137,8469104,2022-08-17 00:00:00.000000,1,95,95,1,1125
138,48389543,2022-01-01 00:00:00.000000,0,99,99,1,13
139,16424246,2022-04-26 00:00:00.000000,0,46,46,29,1125
140,40390493,2022-07-02 00:00:00.000000,1,69,69,1,1125
141,51904178,2022-12-05 00:00:00.000000,1,25,25,61,1125
142,27588529,2022-12-11 00:00:00.000000,0,82,82,2,90
143,45857750,2022-06-04 00:00:00.000000,1,85,85,2,1125
144,50530957,2022-06-21 00:00:00.000000,0,59,59,2,365
145,41045326,2022-06-29 00:00:00.000000,1,90,90,2,1125
146,46006803,2022-08-25 00:00:00.000000,1,75,75,2,1125
147,5789730,2022-05-13 00:00:00.000000,1,79,79,7,1125
148,53209044,2022-04-01 00:00:00.000000,1,67,67,20,1125
149,48818312,2022-06-20 00:00:00.000000,1,77,77,7,1125
150,39572996,2022-04-22 00:00:00.000000,1,217,217,1,1125
151,11052512,2022-09-28 00:00:00.000000,1,199,199,2,1125
152,39664757,2022-01-27 00:00:00.000000,1,58,58,2,5
153,26193437,2022-06-13 00:00:00.000000,0,90,90,2,30
154,41207350,2021-12-26 00:00:00.000000,0,95,95,2,1125
155,32894079,2022-10-21 00:00:00.000000,0,123,123,2,1125
156,50511966,2022-01-03 00:00:00.000000,0,62,62,29,90
157,52016935,2022-03-21 00:00:00.000000,1,210,210,1,1125
158,33005812,2022-05-17 00:00:00.000000,1,92,92,1,1125
159,26774974,2022-12-04 00:00:00.000000,0,85,85,7,1125
160,224333,2022-05-14 00:00:00.000000,1,16,16,14,365
161,52017166,2022-01-10 00:00:00.000000,1,252,252,1,1125
162,38561071,2022-01-03 00:00:00.000000,1,249,249,15,1124
163,11209398,2022-05-17 00:00:00.000000,1,65,65,30,1125
164,39576050,2022-07-21 00:00:00.000000,0,160,160,1,1125
165,32894079,2022-06-07 00:00:00.000000,1,123,123,2,1125
166,53061962,2022-07-25 00:00:00.000000,1,39,39,1,365
167,50760948,2022-12-13 00:00:00.000000,0,80,80,2,10
168,41440889,2022-11-15 00:00:00.000000,0,130,130,6,1125
169,29196408,2022-11-23 00:00:00.000000,0,105,105,1,1125
170,30669652,2022-10-31 00:00:00.000000,0,145,145,2,1125
171,43975047,2022-03-10 00:00:00.000000,1,45,45,2,1125
172,11702316,2022-11-05 00:00:00.000000,0,60,60,2,1125
173,46791742,2022-04-14 00:00:00.000000,0,95,92,1,999
174,636664,2022-12-14 00:00:00.000000,1,100,100,2,365
175,39764990,2022-01-10 00:00:00.000000,0,50,50,4,1125
176,25068907,2022-07-30 00:00:00.000000,0,56,56,2,30
177,31277746,2022-06-08 00:00:00.000000,0,43,43,1,1125
178,21168610,2022-10-02 00:00:00.000000,1,108,108,2,28
179,28693154,2022-05-08 00:00:00.000000,0,65,65,1,1125
180,41129936,2022-04-13 00:00:00.000000,1,49,49,1,21
181,16610326,2021-12-26 00:00:00.000000,0,95,95,2,1125
182,53898152,2022-05-16 00:00:00.000000,1,75,75,2,1125
183,51451001,2022-08-21 00:00:00.000000,0,59,59,1,1125
184,45416364,2022-07-21 00:00:00.000000,0,78,78,30,1125
185,38271062,2022-08-11 00:00:00.000000,0,250,238,2,1125
186,52744629,2022-08-22 00:00:00.000000,1,160,160,1,1125
187,22805099,2022-01-10 00:00:00.000000,0,85,85,1,21
188,31730627,2022-12-21 00:00:00.000000,1,55,55,7,1125
189,45780430,2022-07-02 00:00:00.000000,1,150,150,2,1125
190,29023010,2022-09-20 00:00:00.000000,1,95,95,14,180
191,39482529,2022-07-02 00:00:00.000000,1,134,121,1,99
192,16818256,2022-05-08 00:00:00.000000,1,250,250,7,1125
193,52593265,2022-01-18 00:00:00.000000,1,30,30,1,11
